outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.0397874881678941,0.015489814090938811,5,1038,1384,2496.64,2960.07
2,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.04970835549445275,0.017939399856986737,5,0,346,200.908,805.597
3,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.046295419045430594,0.017746828823409628,5,0,346,200.908,805.597
4,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.04044959402444982,0.004947225556967514,5,0,346,200.908,805.597
5,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.0474495705511317,0.011544582784335029,5,1038,1384,2496.64,2960.07
6,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.04759897492692482,0.01136093629345282,5,0,346,200.908,805.597
7,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.04145631182864938,0.01574188653002305,5,0,346,200.908,805.597
8,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.040397468755017284,0.016203867256798708,5,1038,1384,2496.64,2960.07
9,"{""n_components"": 2, ""num_intervals"": 5}",C=2__I=5,0.04324167502026917,0.018907733509742897,5,1038,1384,2496.64,2960.07
10,"{""n_components"": 2, ""num_intervals"": 10}",C=2__I=10,0.042669211632135044,0.004535114671711928,5,1384,1557,2961.37,3182.14
