outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,0.048856663933202746,0.00889527386016571,5,,,,
2,"{""n_components"": 2}",C=2,0.05423921604779751,0.016233329350230655,5,,,,
3,"{""n_components"": 2}",C=2,0.049311236088764775,0.011765049605390269,5,,,,
4,"{""n_components"": 5}",C=5,0.04696551345126458,0.01086674361390442,5,,,,
5,"{""n_components"": 6}",C=6,0.056187958981492495,0.004096853706763231,5,,,,
6,"{""n_components"": 2}",C=2,0.054935836752750676,0.013816825456521563,5,,,,
7,"{""n_components"": 2}",C=2,0.07305741522791367,0.059742613686965026,5,,,,
8,"{""n_components"": 2}",C=2,0.05008875427386955,0.02212424001140437,5,,,,
9,"{""n_components"": 2}",C=2,0.060622076990593854,0.023868248951895734,5,,,,
10,"{""n_components"": 2}",C=2,0.05520269265104005,0.01578030851203805,5,,,,
