outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,0.04899955614755981,0.014833344578177763,5,,,,
2,"{""n_components"": 2}",C=2,0.05406825580658069,0.016293001574415288,5,,,,
3,"{""n_components"": 2}",C=2,0.05291134276925662,0.015729009835197077,5,,,,
4,"{""n_components"": 2}",C=2,0.045044911985798006,0.0071405592668647875,5,,,,
5,"{""n_components"": 2}",C=2,0.0534791926070178,0.016813746984285644,5,,,,
6,"{""n_components"": 2}",C=2,0.056155995524891256,0.012124251049808396,5,,,,
7,"{""n_components"": 2}",C=2,0.04836028326645545,0.010768174645131374,5,,,,
8,"{""n_components"": 2}",C=2,0.048282012790692094,0.01079013112697473,5,,,,
9,"{""n_components"": 2}",C=2,0.05335678096121481,0.020342622888376995,5,,,,
10,"{""n_components"": 2}",C=2,0.05383704371335413,0.008182564876146485,5,,,,
