outer_fold,selected_hp,selected_hp_tag,mu_best,sd_best,n_inner,interval_a,interval_b,interval_start_cm-1,interval_end_cm-1
1,"{""n_components"": 2}",C=2,0.03992238319289297,0.016863731986507167,5,,,,
2,"{""n_components"": 2}",C=2,0.04991104193297734,0.018712665546096265,5,,,,
3,"{""n_components"": 2}",C=2,0.04755583831442116,0.020679256401053777,5,,,,
4,"{""n_components"": 2}",C=2,0.03930215108497408,0.015636989923915913,5,,,,
5,"{""n_components"": 2}",C=2,0.045872583119805695,0.013786197547950222,5,,,,
6,"{""n_components"": 2}",C=2,0.044809841764957656,0.012789324316226574,5,,,,
7,"{""n_components"": 2}",C=2,0.04038849958655956,0.011805617528516534,5,,,,
8,"{""n_components"": 2}",C=2,0.03800102416306266,0.013682215472023973,5,,,,
9,"{""n_components"": 2}",C=2,0.048231403121240496,0.01622380817770836,5,,,,
10,"{""n_components"": 2}",C=2,0.044996872040382864,0.013539561474488286,5,,,,
