fold,preproc,best_hp,fold_pred_mean,fold_pred_std,fold_rmse,chain,n_estimators,learning_rate,max_depth,min_child_weight,gamma,subsample,colsample_bytree,reg_alpha,reg_lambda
0,EMSC,"(60, 0.1579076234172584, 5, 1, 0.4868777594207297, 0.6163856702151521, 0.5453032172664104, 0.6183860093330874, 2.5298479650686514)",0.3910180628299713,0.0,0.1715243291700287,EMSC,60,0.1579076234172584,5,1,0.4868777594207297,0.6163856702151521,0.5453032172664104,0.6183860093330874,2.5298479650686514
1,EMSC,"(60, 0.1579076234172584, 5, 1, 0.4868777594207297, 0.6163856702151521, 0.5453032172664104, 0.6183860093330874, 2.5298479650686514)",0.39568421244621277,0.0,0.3532876294462128,EMSC,60,0.1579076234172584,5,1,0.4868777594207297,0.6163856702151521,0.5453032172664104,0.6183860093330874,2.5298479650686514
2,EMSC,"(50, 0.10769115285433, 6, 5, 0.30661958270266976, 0.9057489556563223, 0.646642466905006, 0.9394607433105533, 2.4063123747714377)",0.7365487217903137,0.0,0.17020194420968626,EMSC,50,0.10769115285433,6,5,0.30661958270266976,0.9057489556563223,0.646642466905006,0.9394607433105533,2.4063123747714377
3,EMSC,"(159, 0.07648513394217453, 7, 10, 0.13396729889183207, 1.0, 0.510925285565257, 0.7743894406991798, 5.0)",0.5165685415267944,0.0,0.05100835847320562,EMSC,159,0.07648513394217453,7,10,0.13396729889183207,1.0,0.510925285565257,0.7743894406991798,5.0
4,EMSC,"(435, 0.013954185871345278, 4, 2, 0.004070473038417567, 0.9955564558194316, 0.7867656519628783, 0.11972489353753549, 3.1830907586065265)",0.6299556493759155,0.004724331200122833,0.1439286876240845,EMSC,435,0.013954185871345278,4,2,0.004070473038417567,0.9955564558194316,0.7867656519628783,0.11972489353753549,3.1830907586065265
5,EMSC,"(350, 0.028634452154615995, 2, 3, 0.4714165160521176, 0.6336499021549702, 0.9786706951456796, 0.8472881180643705, 4.853974417216753)",0.4826720654964447,0.02793627418577671,0.3897515824964447,EMSC,350,0.028634452154615995,2,3,0.4714165160521176,0.6336499021549702,0.9786706951456796,0.8472881180643705,4.853974417216753
6,EMSC,"(500, 0.3, 2, 10, 0.5, 0.8989520447301841, 0.8774474508402597, 0.7417205755917973, 3.1493592535449877)",0.34536731243133545,0.0,0.15334125856866454,EMSC,500,0.3,2,10,0.5,0.8989520447301841,0.8774474508402597,0.7417205755917973,3.1493592535449877
7,EMSC,"(148, 0.28676191824439473, 10, 10, 0.07002924821813035, 0.9387937393572101, 0.655923508224735, 0.8418165779269479, 1.8943485030044214)",0.516021728515625,0.0,0.238642367515625,EMSC,148,0.28676191824439473,10,10,0.07002924821813035,0.9387937393572101,0.655923508224735,0.8418165779269479,1.8943485030044214
8,EMSC,"(108, 0.3, 4, 1, 0.5, 0.7665537101679868, 0.6714468519352583, 1.0, 3.2479303010804577)",0.7343437671661377,0.0,0.5163561341661377,EMSC,108,0.3,4,1,0.5,0.7665537101679868,0.6714468519352583,1.0,3.2479303010804577
9,EMSC,"(50, 0.14540002687992, 10, 1, 0.5, 0.6869541051297108, 0.5, 0.0, 2.224050234919698)",0.39648061990737915,0.0,0.13644928309262083,EMSC,50,0.14540002687992,10,1,0.5,0.6869541051297108,0.5,0.0,2.224050234919698
