fold,preproc,mode_hp,global_pred_mean,global_pred_std,global_rmse,chain,n_estimators,learning_rate,max_depth,min_child_weight,gamma,subsample,colsample_bytree,reg_alpha,reg_lambda
0,EMSC,"(50, 0.001, 10, 10, 0.5, 0.5, 1.0, 1.0, 5.0)",0.5487032,0.0,0.013839198335449221,EMSC,50,0.001,10,10,0.5,0.5,1.0,1.0,5.0
1,EMSC,"(50, 0.001, 10, 10, 0.5, 0.5, 1.0, 1.0, 5.0)",0.56012124,0.00032447084,0.5177246552316589,EMSC,50,0.001,10,10,0.5,0.5,1.0,1.0,5.0
2,EMSC,"(50, 0.001, 10, 10, 0.5, 0.5, 1.0, 1.0, 5.0)",0.556954,0.0,0.349796639777771,EMSC,50,0.001,10,10,0.5,0.5,1.0,1.0,5.0
3,EMSC,"(50, 0.001, 10, 10, 0.5, 0.5, 1.0, 1.0, 5.0)",0.54965395,0.0,0.017922952646637014,EMSC,50,0.001,10,10,0.5,0.5,1.0,1.0,5.0
4,EMSC,"(50, 0.001, 10, 10, 0.5, 0.5, 1.0, 1.0, 5.0)",0.54826045,0.0,0.22562388663684085,EMSC,50,0.001,10,10,0.5,0.5,1.0,1.0,5.0
5,EMSC,"(50, 0.001, 10, 10, 0.5, 0.5, 1.0, 1.0, 5.0)",0.5621171,0.001143248,0.4691966167619629,EMSC,50,0.001,10,10,0.5,0.5,1.0,1.0,5.0
6,EMSC,"(50, 0.001, 10, 10, 0.5, 0.5, 1.0, 1.0, 5.0)",0.5508776,0.0,0.05216900010595704,EMSC,50,0.001,10,10,0.5,0.5,1.0,1.0,5.0
7,EMSC,"(50, 0.001, 10, 10, 0.5, 0.5, 1.0, 1.0, 5.0)",0.55312884,0.0,0.27574947753912354,EMSC,50,0.001,10,10,0.5,0.5,1.0,1.0,5.0
8,EMSC,"(50, 0.001, 10, 10, 0.5, 0.5, 1.0, 1.0, 5.0)",0.56971776,0.0,0.35173013185443114,EMSC,50,0.001,10,10,0.5,0.5,1.0,1.0,5.0
9,EMSC,"(50, 0.001, 10, 10, 0.5, 0.5, 1.0, 1.0, 5.0)",0.5495208,0.0,0.016590887576934832,EMSC,50,0.001,10,10,0.5,0.5,1.0,1.0,5.0
10,EMSC,"(50, 0.001, 10, 10, 0.5, 0.5, 1.0, 1.0, 5.0)",0.5603401,0.000550339,0.18065989351272582,EMSC,50,0.001,10,10,0.5,0.5,1.0,1.0,5.0
0,EMSC+SNV,"(65, 0.0010512153340695586, 4, 7, 0.4926853109829337, 0.5582116252805831, 0.9378388730620811, 0.7834814376238751, 4.410228116564714)",0.5505364,0.004357929,0.012005997880737307,EMSC+SNV,65,0.0010512153340695586,4,7,0.4926853109829337,0.5582116252805831,0.9378388730620811,0.7834814376238751,4.410228116564714
1,EMSC+SNV,"(65, 0.0010512153340695586, 4, 7, 0.4926853109829337, 0.5582116252805831, 0.9378388730620811, 0.7834814376238751, 4.410228116564714)",0.5523824,0.0041875793,0.5099858265726013,EMSC+SNV,65,0.0010512153340695586,4,7,0.4926853109829337,0.5582116252805831,0.9378388730620811,0.7834814376238751,4.410228116564714
2,EMSC+SNV,"(65, 0.0010512153340695586, 4, 7, 0.4926853109829337, 0.5582116252805831, 0.9378388730620811, 0.7834814376238751, 4.410228116564714)",0.5602894,0.0,0.34646128306542967,EMSC+SNV,65,0.0010512153340695586,4,7,0.4926853109829337,0.5582116252805831,0.9378388730620811,0.7834814376238751,4.410228116564714
3,EMSC+SNV,"(65, 0.0010512153340695586, 4, 7, 0.4926853109829337, 0.5582116252805831, 0.9378388730620811, 0.7834814376238751, 4.410228116564714)",0.55240226,0.0013109543,0.015174642080688527,EMSC+SNV,65,0.0010512153340695586,4,7,0.4926853109829337,0.5582116252805831,0.9378388730620811,0.7834814376238751,4.410228116564714
4,EMSC+SNV,"(65, 0.0010512153340695586, 4, 7, 0.4926853109829337, 0.5582116252805831, 0.9378388730620811, 0.7834814376238751, 4.410228116564714)",0.53565323,0.00028662977,0.23823110347186283,EMSC+SNV,65,0.0010512153340695586,4,7,0.4926853109829337,0.5582116252805831,0.9378388730620811,0.7834814376238751,4.410228116564714
5,EMSC+SNV,"(65, 0.0010512153340695586, 4, 7, 0.4926853109829337, 0.5582116252805831, 0.9378388730620811, 0.7834814376238751, 4.410228116564714)",0.55321103,0.0035541533,0.4602905503442688,EMSC+SNV,65,0.0010512153340695586,4,7,0.4926853109829337,0.5582116252805831,0.9378388730620811,0.7834814376238751,4.410228116564714
6,EMSC+SNV,"(65, 0.0010512153340695586, 4, 7, 0.4926853109829337, 0.5582116252805831, 0.9378388730620811, 0.7834814376238751, 4.410228116564714)",0.5535648,0.00022846532,0.05485621591101075,EMSC+SNV,65,0.0010512153340695586,4,7,0.4926853109829337,0.5582116252805831,0.9378388730620811,0.7834814376238751,4.410228116564714
7,EMSC+SNV,"(65, 0.0010512153340695586, 4, 7, 0.4926853109829337, 0.5582116252805831, 0.9378388730620811, 0.7834814376238751, 4.410228116564714)",0.5594695,0.000106926396,0.2820901600456848,EMSC+SNV,65,0.0010512153340695586,4,7,0.4926853109829337,0.5582116252805831,0.9378388730620811,0.7834814376238751,4.410228116564714
8,EMSC+SNV,"(65, 0.0010512153340695586, 4, 7, 0.4926853109829337, 0.5582116252805831, 0.9378388730620811, 0.7834814376238751, 4.410228116564714)",0.5549839,0.012827975,0.336996280898468,EMSC+SNV,65,0.0010512153340695586,4,7,0.4926853109829337,0.5582116252805831,0.9378388730620811,0.7834814376238751,4.410228116564714
9,EMSC+SNV,"(65, 0.0010512153340695586, 4, 7, 0.4926853109829337, 0.5582116252805831, 0.9378388730620811, 0.7834814376238751, 4.410228116564714)",0.553803,0.00027232483,0.020873123676177996,EMSC+SNV,65,0.0010512153340695586,4,7,0.4926853109829337,0.5582116252805831,0.9378388730620811,0.7834814376238751,4.410228116564714
10,EMSC+SNV,"(65, 0.0010512153340695586, 4, 7, 0.4926853109829337, 0.5582116252805831, 0.9378388730620811, 0.7834814376238751, 4.410228116564714)",0.55637884,0.008979216,0.1846211585998535,EMSC+SNV,65,0.0010512153340695586,4,7,0.4926853109829337,0.5582116252805831,0.9378388730620811,0.7834814376238751,4.410228116564714
